2026-01-27 16:52:36.025 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.371s
2026-01-27 16:52:36.062 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/projects/3/cargar-padron | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:52:36.304 | WARNING  | app.main:validation_exception_handler:98 | Validación fallida: [{'type': 'missing', 'loc': ('body', 'archivo'), 'msg': 'Field required', 'input': None, 'url': 'https://errors.pydantic.dev/2.5/v/missing'}]
2026-01-27 16:52:36.308 | INFO     | app.main:log_requests:84 | Response: 422 | Tiempo: 0.246s
2026-01-27 16:52:54.924 | INFO     | app.main:log_requests:75 | Request: GET http://localhost:8000/api/v1/projects/?skip=0&limit=100 | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:52:55.568 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.644s
2026-01-27 16:53:16.803 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:53:16.911 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.108s
2026-01-27 16:54:16.794 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:54:16.897 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.103s
2026-01-27 16:55:16.791 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:55:16.903 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.111s
2026-01-27 16:55:48.639 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/logout | IP: 127.0.0.1 | UA: Combinación de Correspondencia/1.0.0
2026-01-27 16:55:48.943 | INFO     | app.api.v1.auth:logout:158 | Logout exitoso para usuario: superadmin
2026-01-27 16:55:48.945 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.306s
